Country or Region,Happiness Rank,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom,Trust,Generosity,Latitude,Longitude
Bolivia,61,5.779,0.776,1.209,0.706,0.511,0.064,0.137,-16.29,-63.589
Hungary,62,5.758,1.201,1.41,0.828,0.199,0.02,0.081,47.1625,19.5033
Paraguay,63,5.743,0.855,1.475,0.777,0.514,0.08,0.184,-23.443,-58.444
Northern Cyprus,64,5.718,1.263,1.252,1.042,0.417,0.162,0.191,35.248,33.6577
Peru,65,5.697,0.96,1.274,0.854,0.455,0.027,0.083,-9.19,-75.015
Portugal,66,5.693,1.221,1.431,0.999,0.508,0.025,0.047,39.3999,-8.2245
Pakistan,67,5.653,0.677,0.886,0.535,0.313,0.098,0.22,30.3753,69.3451
Russia,68,5.648,1.183,1.452,0.726,0.334,0.031,0.082,61.524,105.319
Philippines,69,5.631,0.807,1.293,0.657,0.558,0.107,0.117,12.8797,121.774
Serbia,70,5.603,1.004,1.383,0.854,0.282,0.039,0.137,44.0165,21.0059
Moldova,71,5.529,0.685,1.328,0.739,0.245,0,0.181,47.4116,28.3699
Libya,72,5.525,1.044,1.303,0.673,0.416,0.152,0.133,26.3351,17.2283
Montenegro,73,5.523,1.051,1.361,0.871,0.197,0.08,0.142,42.7087,19.3744
Tajikistan,74,5.467,0.493,1.098,0.718,0.389,0.144,0.23,38.861,71.2761
Croatia,75,5.432,1.155,1.266,0.914,0.296,0.022,0.119,45.1,15.2
Hong Kong,76,5.43,1.438,1.277,1.122,0.44,0.287,0.258,22.3964,114.109
Dominican Republic,77,5.425,1.015,1.401,0.779,0.497,0.101,0.113,18.7357,-70.163
Bosnia and Herzegovina,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263,43.9159,17.6791
Turkey,79,5.373,1.183,1.36,0.808,0.195,0.106,0.083,38.9637,35.2433
Malaysia,80,5.339,1.221,1.171,0.828,0.508,0.024,0.26,4.21048,101.976
Belarus,81,5.323,1.067,1.465,0.789,0.235,0.142,0.094,53.7098,27.9534
Greece,82,5.287,1.181,1.156,0.999,0.067,0.034,0,39.0742,21.8243
Mongolia,83,5.285,0.948,1.531,0.667,0.317,0.038,0.235,46.8625,103.847
North Macedonia,84,5.274,0.983,1.294,0.838,0.345,0.034,0.185,41.6086,21.7453
Nigeria,85,5.265,0.696,1.111,0.245,0.426,0.041,0.215,9.082,8.67528
Kyrgyzstan,86,5.261,0.551,1.438,0.723,0.508,0.023,0.3,41.2044,74.7661
Turkmenistan,87,5.247,1.052,1.538,0.657,0.394,0.028,0.244,38.9697,59.5563
Algeria,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073,28.0339,1.65963
Morocco,89,5.208,0.801,0.782,0.782,0.418,0.076,0.036,31.7917,-7.0926
Azerbaijan,90,5.208,1.043,1.147,0.769,0.351,0.182,0.035,40.1431,47.5769
Lebanon,91,5.197,0.987,1.224,0.815,0.216,0.027,0.166,33.8547,35.8623
Indonesia,92,5.192,0.931,1.203,0.66,0.491,0.028,0.498,-0.7893,113.921
China,93,5.191,1.029,1.125,0.893,0.521,0.1,0.058,35.8617,104.195
Vietnam,94,5.175,0.741,1.346,0.851,0.543,0.073,0.147,14.0583,108.277
Bhutan,95,5.082,0.813,1.321,0.604,0.457,0.167,0.37,27.5142,90.4336
Cameroon,96,5.044,0.549,0.91,0.331,0.381,0.037,0.187,7.36972,12.3547
Bulgaria,97,5.011,1.092,1.513,0.815,0.311,0.004,0.081,42.7339,25.4858
Ghana,98,4.996,0.611,0.868,0.486,0.381,0.04,0.245,7.94653,-1.0232
Ivory Coast,99,4.944,0.569,0.808,0.232,0.352,0.09,0.154,7.54,5.5471
Nepal,100,4.913,0.446,1.226,0.677,0.439,0.089,0.285,28.3949,84.124
Jordan,101,4.906,0.837,1.225,0.815,0.383,0.13,0.11,30.5852,36.2384
Benin,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175,9.30769,2.31583
Congo (Brazzaville),103,4.812,0.673,0.799,0.508,0.372,0.093,0.105,-0.228,15.8277
Gabon,104,4.799,1.057,1.183,0.571,0.295,0.055,0.043,-0.8037,11.6094
Laos,105,4.796,0.764,1.03,0.551,0.547,0.164,0.266,19.8563,102.495
South Africa,106,4.722,0.96,1.351,0.469,0.389,0.055,0.13,-30.559,22.9375
Albania,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178,41.1533,20.1683
Venezuela,108,4.707,0.96,1.427,0.805,0.154,0.047,0.064,6.42375,-66.59
Cambodia,109,4.7,0.574,1.122,0.637,0.609,0.062,0.232,12.5657,104.991
Palestinian Territories,110,4.696,0.657,1.247,0.672,0.225,0.066,0.103,31.9522,35.2332
Senegal,111,4.681,0.45,1.134,0.571,0.292,0.072,0.153,14.4974,-14.452
Somalia,112,4.668,0,0.698,0.268,0.559,0.27,0.243,5.15215,46.1996
Namibia,113,4.639,0.879,1.313,0.477,0.401,0.056,0.07,-22.958,18.4904
Niger,114,4.628,0.138,0.774,0.366,0.318,0.102,0.188,17.6078,8.08167
Burkina Faso,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177,12.2383,-1.5616
Armenia,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095,40.0691,45.0382
Iran,117,4.548,1.1,0.842,0.785,0.305,0.125,0.27,32.4279,53.688
Guinea,118,4.534,0.38,0.829,0.375,0.332,0.086,0.207,9.94559,-9.6966
Georgia,119,4.519,0.886,0.666,0.752,0.346,0.164,0.043,42.3154,43.3569
Gambia,120,4.516,0.308,0.939,0.428,0.382,0.167,0.269,13.4432,-15.31
Kenya,121,4.509,0.512,0.983,0.581,0.431,0.053,0.372,-0.0236,37.9062
Mauritania,122,4.49,0.57,1.167,0.489,0.066,0.088,0.106,21.0079,-10.941
Mozambique,123,4.466,0.204,0.986,0.39,0.494,0.138,0.197,-18.666,35.5296
Tunisia,124,4.461,0.921,1,0.815,0.167,0.055,0.059,33.8869,9.5375
Bangladesh,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166,23.685,90.3563
Iraq,126,4.437,1.043,0.98,0.574,0.241,0.089,0.148,33.2232,43.6793
Congo (Kinshasa),127,4.418,0.094,1.125,0.357,0.269,0.053,0.212,-4.0383,21.7587
Mali,128,4.39,0.385,1.105,0.308,0.327,0.052,0.153,17.5707,-3.9962
Sierra Leone,129,4.374,0.268,0.841,0.242,0.309,0.045,0.252,8.46056,-11.78
Sri Lanka,130,4.366,0.949,1.265,0.831,0.47,0.047,0.244,7.87305,80.7718
Myanmar,131,4.36,0.71,1.181,0.555,0.525,0.172,0.566,21.9162,95.956
Chad,132,4.35,0.35,0.766,0.192,0.174,0.078,0.198,15.4542,18.7322
Ukraine,133,4.332,0.82,1.39,0.739,0.178,0.01,0.187,48.3794,31.1656
Ethiopia,134,4.286,0.336,1.033,0.532,0.344,0.1,0.209,9.145,40.4897
Swaziland,135,4.212,0.811,1.149,0,0.313,0.135,0.074,-26.523,31.4659
Uganda,136,4.189,0.332,1.069,0.443,0.356,0.06,0.252,1.37333,32.2903
Egypt,137,4.166,0.913,1.039,0.644,0.241,0.067,0.076,26.8206,30.8025
Zambia,138,4.107,0.578,1.058,0.426,0.431,0.087,0.247,-13.134,27.8493
Togo,139,4.085,0.275,0.572,0.41,0.293,0.085,0.177,8.61954,0.82478
India,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2,20.5937,78.9629
Liberia,141,3.975,0.073,0.922,0.443,0.37,0.033,0.233,6.42806,-9.4295
Comoros,142,3.973,0.274,0.757,0.505,0.142,0.078,0.275,-11.875,43.8722
Madagascar,143,3.933,0.274,0.916,0.555,0.148,0.041,0.169,-18.767,46.8691
Lesotho,144,3.802,0.489,1.169,0.168,0.359,0.093,0.107,-29.61,28.2336
Burundi,145,3.775,0.046,0.447,0.38,0.22,0.18,0.176,-3.3731,29.9189
Zimbabwe,146,3.663,0.366,1.114,0.433,0.361,0.089,0.151,-19.015,29.1549
Haiti,147,3.597,0.323,0.688,0.449,0.026,0.11,0.419,18.9712,-72.285
Botswana,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025,-22.328,24.6849
Syria,149,3.462,0.619,0.378,0.44,0.013,0.141,0.331,34.8021,38.9968
Malawi,150,3.41,0.191,0.56,0.495,0.443,0.089,0.218,-13.254,34.3015
Yemen,151,3.38,0.287,1.163,0.463,0.143,0.077,0.108,15.5527,48.5164
Rwanda,152,3.334,0.359,0.711,0.614,0.555,0.411,0.217,-1.9403,29.8739
Tanzania,153,3.231,0.476,0.885,0.499,0.417,0.147,0.276,-6.369,34.8888
Afghanistan,154,3.203,0.35,0.517,0.361,0,0.025,0.158,33.9391,67.71
Central African Republic,155,3.083,0.026,0,0.105,0.225,0.035,0.235,6.61111,20.9394
South Sudan,156,2.853,0.306,0.575,0.295,0.01,0.091,0.202,6.877,31.307
